,Series ID,Year,Value,LOCATION,dum
122,55-64,2020,0.646852483883201,USA,0.0
123,55-64,2021,0.6457920496597831,USA,0.0
125,Older than 65,1961,0.277044025157233,USA,0.0
126,Older than 65,1962,0.274216190921853,USA,0.0
127,Older than 65,1963,0.176191028167381,USA,0.0
128,Older than 65,1964,0.1764739488117,USA,0.0
129,Older than 65,1965,0.174362431187507,USA,0.0
130,Older than 65,1966,0.168973535599601,USA,0.0
131,Older than 65,1967,0.17231434751261698,USA,0.0
132,Older than 65,1968,0.172037733791374,USA,0.0
133,Older than 65,1969,0.172910971753229,USA,0.0
134,Older than 65,1970,0.16948974224092597,USA,0.0
135,Older than 65,1971,0.162174697242979,USA,0.0
136,Older than 65,1972,0.155463443867359,USA,0.0
137,Older than 65,1973,0.145813919270195,USA,0.0
138,Older than 65,1974,0.140033420864168,USA,0.0
139,Older than 65,1975,0.137514518002323,USA,0.0
140,Older than 65,1976,0.131096318434995,USA,0.0
141,Older than 65,1977,0.129928751604195,USA,0.0
142,Older than 65,1978,0.132608132608133,USA,0.0
143,Older than 65,1979,0.13056467222082,USA,0.0
144,Older than 65,1980,0.12532315646928502,USA,0.0
145,Older than 65,1981,0.12241448692152901,USA,0.0
146,Older than 65,1982,0.11930833464629,USA,0.0
147,Older than 65,1983,0.11748348974626299,USA,0.0
148,Older than 65,1984,0.110921953618583,USA,0.0
149,Older than 65,1985,0.10771567211171601,USA,0.0
150,Older than 65,1986,0.109506837358161,USA,0.0
151,Older than 65,1987,0.110964849864807,USA,0.0
152,Older than 65,1988,0.114819993009437,USA,0.0
153,Older than 65,1989,0.11819147842182799,USA,0.0
154,Older than 65,1990,0.117999042604117,USA,0.0
155,Older than 65,1991,0.114882154882155,USA,0.0
156,Older than 65,1992,0.115080022532224,USA,0.0
157,Older than 65,1993,0.11223190676721201,USA,0.0
158,Older than 65,1994,0.123625576371199,USA,0.0
159,Older than 65,1995,0.121442426940567,USA,0.0
160,Older than 65,1996,0.120531636798841,USA,0.0
161,Older than 65,1997,0.121479258495108,USA,0.0
162,Older than 65,1998,0.119327522565836,USA,0.0
163,Older than 65,1999,0.123353035340475,USA,0.0
164,Older than 65,2000,0.128847188191,USA,0.0
165,Older than 65,2001,0.13013779995248298,USA,0.0
