,Country,Year,Exajoules,fuel,Total,pct,key1,key2,key3,rank
1500,China,2008,0.663932939290723,Nuclear Energy,93.7788064295026,0.007079775959718882,China,2021,159.49210028143003,1.0
1501,China,2008,6.443620597074732,Hydro,93.7788064295026,0.06871084035302441,China,2021,159.49210028143003,1.0
1502,China,2008,67.37731424493127,Coal,93.7788064295026,0.7184705885074533,China,2021,159.49210028143003,1.0
1503,China,2008,0.3046421543778801,Renwebales,93.7788064295026,0.0032485181458018686,China,2021,159.49210028143003,1.0
1504,China,2008,0.17058215037066715,Other,93.7788064295026,0.0018189840206475735,China,2021,159.49210028143003,1.0
1505,China,2009,16.489074635574955,Oil,97.93987032825129,0.16835916343681936,China,2021,159.49210028143003,1.0
1506,China,2009,3.2480650793026187,Natural Gas,97.93987032825129,0.03316386950908282,China,2021,159.49210028143003,1.0
1507,China,2009,0.6758145979689363,Nuclear Energy,97.93987032825129,0.006900301130723408,China,2021,159.49210028143003,1.0
1508,China,2009,6.189539139784943,Hydro,97.93987032825129,0.06319733852046501,China,2021,159.49210028143003,1.0
1509,China,2009,70.57807117398737,Coal,97.93987032825129,0.7206265531845282,China,2021,159.49210028143003,1.0
1510,China,2009,0.5198726786336654,Renwebales,97.93987032825129,0.0053080801198866325,China,2021,159.49210028143003,1.0
1511,China,2009,0.23943302299880528,Other,97.93987032825129,0.0024446940984946303,China,2021,159.49210028143003,1.0
1512,China,2010,18.772164349699537,Oil,104.80965895305357,0.1791071981076475,China,2021,159.49210028143003,1.0
1513,China,2010,3.9194659760836363,Natural Gas,104.80965895305357,0.03739603787699802,China,2021,159.49210028143003,1.0
1514,China,2010,0.7166542204630907,Nuclear Energy,104.80965895305357,0.006837673432217683,China,2021,159.49210028143003,1.0
1515,China,2010,7.108200027429245,Hydro,104.80965895305357,0.06782008546190534,China,2021,159.49210028143003,1.0
1516,China,2010,73.22080640425438,Coal,104.80965895305357,0.69860742927378,China,2021,159.49210028143003,1.0
1517,China,2010,0.7864887870670887,Renwebales,104.80965895305357,0.007503972390744763,China,2021,159.49210028143003,1.0
1518,China,2010,0.28587918805660006,Other,104.80965895305357,0.002727603456706708,China,2021,159.49210028143003,1.0
1519,China,2011,19.40664184627079,Oil,113.03932617268002,0.17168044523394457,China,2021,159.49210028143003,1.0
1520,China,2011,4.865863396862452,Natural Gas,113.03932617268002,0.0430457572741482,China,2021,159.49210028143003,1.0
1521,China,2011,0.8310070810385518,Nuclear Energy,113.03932617268002,0.007351486506289829,China,2021,159.49210028143003,1.0
1522,China,2011,6.833082621951215,Hydro,113.03932617268002,0.06044872039942036,China,2021,159.49210028143003,1.0
1523,China,2011,79.70631239296142,Coal,113.03932617268002,0.7051202010104098,China,2021,159.49210028143003,1.0
1524,China,2011,1.0791189270259633,Renwebales,113.03932617268002,0.009546402686242931,China,2021,159.49210028143003,1.0
1525,China,2011,0.3172999065696302,Other,113.03932617268002,0.0028069868895442603,China,2021,159.49210028143003,1.0
1526,China,2012,20.355478758886665,Oil,117.68627878586848,0.17296390852771962,China,2021,159.49210028143003,1.0
1527,China,2012,5.431592957520337,Natural Gas,117.68627878586848,0.04615315407672276,China,2021,159.49210028143003,1.0
1528,China,2012,0.9312856296187676,Nuclear Energy,117.68627878586848,0.007913289800871793,China,2021,159.49210028143003,1.0
1529,China,2012,8.516612827741927,Hydro,117.68627878586848,0.07236708404416457,China,2021,159.49210028143003,1.0
1530,China,2012,80.70656102235768,Coal,117.68627878586848,0.685777151380614,China,2021,159.49210028143003,1.0
1531,China,2012,1.3987155919425214,Renwebales,117.68627878586848,0.011885120392730746,China,2021,159.49210028143003,1.0
1532,China,2012,0.3460319978005865,Other,117.68627878586848,0.002940291777176468,China,2021,159.49210028143003,1.0
1533,China,2013,21.266891538844096,Oil,122.15133451667884,0.17410281781195164,China,2021,159.49210028143003,1.0
1534,China,2013,6.1876275123231075,Natural Gas,122.15133451667884,0.05065542293750572,China,2021,159.49210028143003,1.0
1535,China,2013,1.0497887273610562,Nuclear Energy,122.15133451667884,0.008594165029099338,China,2021,159.49210028143003,1.0
1536,China,2013,8.924664532445775,Hydro,122.15133451667884,0.07306235799844805,China,2021,159.49210028143003,1.0
1537,China,2013,82.43068181031947,Coal,122.15133451667884,0.6748242427025157,China,2021,159.49210028143003,1.0
