,Year,cume,Country,Million tonnes of carbon dioxide
202,1996,13198.535029562892,France,372.53567875361983
203,1997,13559.6927741842,France,361.1577446213071
204,1998,13944.55689750209,France,384.8641233178914
205,1999,14328.919943616786,France,384.36304611469615
206,2000,14710.419721269443,France,381.4997776526581
207,2001,15093.827186862947,France,383.4074655935026
208,2002,15473.957646587458,France,380.1304597245107
209,2003,15861.12058282607,France,387.16293623861225
210,2004,16250.229184457112,France,389.10860163104144
211,2005,16639.99992480773,France,389.77074035061884
212,2006,17020.051750031314,France,380.0518252235839
213,2007,17390.516222400896,France,370.46447236958085
214,2008,17760.26300372991,France,369.74678132901363
215,2009,18115.06586731431,France,354.80286358440515
216,2010,18475.428028182498,France,360.36216086818246
217,2011,18809.575525252847,France,334.14749707034997
218,2012,19145.13881213411,France,335.5632868812644
219,2013,19480.067443036845,France,334.92863090273477
220,2014,19781.576081744268,France,301.5086387074239
221,2015,20089.058598368298,France,307.48251662402765
222,2016,20402.14402599298,France,313.0854276246825
223,2017,20719.962331880648,France,317.8183058876699
224,2018,21026.65630764044,France,306.6939757597942
225,2019,21325.943395059134,France,299.2870874186887
226,2020,21577.49350925367,France,251.5501141945378
227,2021,21851.045065719427,France,273.5515564657559
228,1965,910.4138464407083,Germany,910.4138464407083
229,1966,1811.451644454541,Germany,901.0377980138328
230,1967,2703.867764934519,Germany,892.4161204799782
231,1968,3648.6231578959632,Germany,944.7553929614439
232,1969,4660.547529096707,Germany,1011.9243712007434
233,1970,5703.941797758297,Germany,1043.3942686615903
234,1971,6749.063071787379,Germany,1045.1212740290819
235,1972,7816.389775125634,Germany,1067.3267033382542
236,1973,8932.8141708024,Germany,1116.424395676766
237,1974,10018.134640308068,Germany,1085.3204695056695
238,1975,11043.434347548164,Germany,1025.299707240095
239,1976,12136.84612071997,Germany,1093.4117731718065
240,1977,13209.359742494325,Germany,1072.513621774355
241,1978,14262.105239034247,Germany,1052.7454965399209
242,1979,15366.30031757453,Germany,1104.1950785402844
243,1980,16444.11090643116,Germany,1077.8105888566306
244,1981,17488.014080220473,Germany,1043.9031737893115
245,1982,18491.347311132027,Germany,1003.3332309115536
246,1983,19509.297988492333,Germany,1017.9506773603072
247,1984,20547.632995976554,Germany,1038.3350074842213
248,1985,21593.44690426765,Germany,1045.8139082910973
249,1986,22630.714230430898,Germany,1037.2673261632472
