,Country,Fuel type,Exajoules,Total,Percentages,Rank
67,Poland,Hydro electric,0.02203346652848653,4.442018406864433,0.004960237556520998,10.0
68,Poland,Nuclear energy,0.0,4.442018406864433,0.0,10.0
69,Poland,Oil,1.3780338762805746,4.442018406864433,0.3102269621735566,10.0
70,Poland,Coal,1.882374429741033,4.442018406864433,0.423765562707287,10.0
71,Poland,Natural Gas,0.8368346023702203,4.442018406864433,0.18839062014624378,10.0
72,Russian Federation,Oil,6.706620526484154,31.297044412312346,0.21428926125195868,6.0
73,Russian Federation,Coal,3.4121082939584784,31.297044412312346,0.1090233393609572,6.0
74,Russian Federation,Natural Gas,17.08610707964602,31.297044412312346,0.5459335665870192,6.0
75,Russian Federation,Hydro electric,2.020912281803513,31.297044412312346,0.06457198498298071,6.0
76,Russian Federation,Renewables,0.061002602535780354,31.297044412312346,0.0019491489909437506,6.0
77,Russian Federation,Nuclear energy,2.0102936278844012,31.297044412312346,0.06423269882614047,6.0
78,Saudi Arabia,Coal,0.0036913522973769835,10.824213163769373,0.0003410273099325701,19.0
79,Saudi Arabia,Natural Gas,4.222331431304,10.824213163769373,0.3900820657742512,19.0
80,Saudi Arabia,Renewables,0.007822553596312343,10.824213163769373,0.0007226902757695002,19.0
81,Saudi Arabia,Nuclear energy,0.0,10.824213163769373,0.0,19.0
82,Saudi Arabia,Hydro electric,0.0,10.824213163769373,0.0,19.0
83,Saudi Arabia,Oil,6.590367826571684,10.824213163769373,0.6088542166400467,19.0
84,South Africa,Oil,1.0409999707320348,4.978430620332561,0.2091020343801629,5.0
85,South Africa,Renewables,0.15984113893680496,4.978430620332561,0.03210673224690385,5.0
86,South Africa,Hydro electric,0.013197566980195646,4.978430620332561,0.002650949262262501,5.0
87,South Africa,Natural Gas,0.13872284559925588,4.978430620332561,0.0278647742990921,5.0
88,South Africa,Coal,3.5314401825796713,4.978430620332561,0.7093480761099308,5.0
89,South Africa,Nuclear energy,0.09422891550459801,4.978430620332561,0.018927433701647827,5.0
90,South Korea,Oil,5.390754460239051,12.57552413787351,0.4286703600690328,8.0
91,South Korea,Renewables,0.43965716874225735,12.57552413787351,0.0349613394974249,8.0
92,South Korea,Natural Gas,2.2517192365200005,12.57552413787351,0.1790556967513213,8.0
93,South Korea,Nuclear energy,1.4283675217917937,12.57552413787351,0.11358314024383298,8.0
94,South Korea,Hydro electric,0.028779324580409032,12.57552413787351,0.002288518893119913,8.0
95,South Korea,Coal,3.036246426,12.57552413787351,0.2414409445452682,8.0
96,Turkey,Renewables,0.6075281815539253,6.827258413134946,0.08898567254831065,11.0
97,Turkey,Hydro electric,0.5246511425209828,6.827258413134946,0.0768465335238531,11.0
98,Turkey,Natural Gas,2.063644526689127,6.827258413134946,0.3022654778554868,11.0
99,Turkey,Nuclear energy,0.0,6.827258413134946,0.0,11.0
100,Turkey,Coal,1.7426685839961311,6.827258413134946,0.25525159273939524,11.0
101,Turkey,Oil,1.8887659783747803,6.827258413134946,0.27665072333295426,11.0
102,US,Oil,35.326947876969534,92.9716585822148,0.3799754507523379,3.0
103,US,Coal,10.571573023166899,92.9716585822148,0.11370748015448666,3.0
104,US,Nuclear energy,7.40425850179503,92.9716585822148,0.07963995280612798,3.0
105,US,Renewables,7.479600791595573,92.9716585822148,0.0804503319146594,3.0
106,US,Hydro electric,2.427450293965114,92.9716585822148,0.0261095728632024,3.0
107,US,Natural Gas,29.761828094722638,92.9716585822148,0.32011721150918554,3.0
108,United Kingdom,Hydro electric,0.047240543520182615,7.179401538961596,0.00658001133713094,17.0
109,United Kingdom,Oil,2.4958961689513957,7.179401538961596,0.34764682758117377,17.0
110,United Kingdom,Renewables,1.2412137360514501,7.179401538961596,0.17288540407101607,17.0
111,United Kingdom,Coal,0.21032335066861974,7.179401538961596,0.029295387578926278,17.0
112,United Kingdom,Natural Gas,2.77011171,7.179401538961596,0.3858415906906719,17.0
113,United Kingdom,Nuclear energy,0.4146160297699476,7.179401538961596,0.05775077874108101,17.0
