,Exajoules,value,Year,Totals,China Percentages
33,Coal,28.338180148458186,1998,39.630398965061616,0.7150616922489548
34,Coal,29.15651784665542,1999,41.018665861873245,0.7108109743217255
35,Coal,29.561062335738665,2000,42.51003967824351,0.6953901374707
36,Coal,31.088717104475606,2001,44.921432357716256,0.6920686957822578
37,Coal,34.08284713417288,2002,48.91269577247728,0.6968098281213726
38,Coal,40.61901088228201,2003,56.95946113354267,0.7131214037831201
39,Coal,47.35900693409611,2004,66.640277270754,0.7106664148722001
40,Coal,55.45838065970363,2005,75.72861826123679,0.7323305499697875
41,Coal,60.90617426023947,2006,83.01231736038308,0.7337004458727039
42,Coal,66.32608656593956,2007,90.24356868303997,0.7349674612148249
43,Coal,67.37731424493127,2008,93.7788064295026,0.7184705885074533
44,Coal,70.57807117398737,2009,97.93987032825129,0.7206265531845282
45,Coal,73.22080640425438,2010,104.80965895305357,0.69860742927378
46,Coal,79.70631239296142,2011,113.03932617268002,0.7051202010104098
47,Coal,80.70656102235768,2012,117.68627878586848,0.685777151380614
48,Coal,82.43068181031947,2013,122.15133451667884,0.6748242427025157
49,Coal,82.48021539479998,2014,125.80632594302067,0.655612623423693
50,Coal,80.91794044987198,2015,127.54571416704651,0.634423045715937
51,Coal,80.18585251171199,2016,129.76644998272914,0.6179243750783355
52,Coal,80.560382035824,2017,134.4236529003428,0.5993021339447514
53,Coal,81.05322320103599,2018,139.83710972109768,0.5796259902875212
54,Coal,81.69855289761601,2019,145.10780826962772,0.5630196877194251
55,Coal,82.37612308946399,2020,149.0528366377736,0.5526639072938507
56,Coal,86.16981729093136,2021,159.49210028143003,0.5402763970057537
57,Gas,0.039911504424778754,1965,5.5302993244570375,0.007216879608717607
58,Gas,0.048619469026548665,1966,6.009508456929775,0.008090423597038763
59,Gas,0.05297345132743361,1967,5.403846454714531,0.009802915714086854
60,Gas,0.05079646017699114,1968,5.460105295725378,0.009303201573192884
61,Gas,0.07111504424778761,1969,6.642670196667143,0.010705791818999005
62,Gas,0.10413274336283185,1970,8.502114260524122,0.012247864492521236
63,Gas,0.13569911504424778,1971,10.080447048624894,0.013461616770533896
64,Gas,0.1756106194690265,1972,10.86781164008193,0.016158783873411207
65,Gas,0.2169734513274336,1973,11.472815063972597,0.018911962767427716
66,Gas,0.2732123893805309,1974,11.83234213373537,0.023090305054784623
67,Gas,0.3211061946902654,1975,13.249589529948329,0.024235180566496966
68,Gas,0.36646017699115035,1976,13.949375658055668,0.026270722502158877
69,Gas,0.43975221238938045,1977,15.210548255582928,0.028911003403705213
70,Gas,0.4981681415929202,1978,16.675318015205825,0.029874581170725053
71,Gas,0.5264690265486724,1979,17.178572642484156,0.030646843454657412
72,Gas,0.5177610619469026,1980,17.37912239339829,0.029792129327749117
73,Gas,0.46224778761061935,1981,17.149859241277674,0.02695344498793575
74,Gas,0.4328584070796459,1982,17.916732915734507,0.024159449667272143
75,Gas,0.44301769911504413,1983,19.071713671483632,0.023229045210418197
76,Gas,0.45099999999999996,1984,20.466520585737058,0.022035987900859807
77,Gas,0.46914159292035396,1985,22.141335434107702,0.02118849580308797
