,Year,cume,Country,Million tonnes of carbon dioxide
161,2012,10497.21098233237,Brazil,444.5160066520991
162,2013,10980.22183717979,Brazil,483.0108548474212
163,2014,11485.43041945894,Brazil,505.20858227914914
164,2015,11962.049693384883,Brazil,476.6192739259427
165,2016,12402.820735880334,Brazil,440.7710424954521
166,2017,12849.194970428183,Brazil,446.37423454784863
167,2018,13276.75866982154,Brazil,427.5636993933573
168,2019,13701.883907856229,Brazil,425.1252380346885
169,2020,14092.387059904553,Brazil,390.5031520483242
170,2021,14528.996033560417,Brazil,436.6089736558639
171,1965,260.3284936282468,Canada,260.3284936282468
172,1966,532.0236281827822,Canada,271.69513455453546
173,1967,817.566693078314,Canada,285.5430648955317
174,1968,1125.8488667211013,Canada,308.2821736427874
175,1969,1446.3046683852865,Canada,320.4558016641852
176,1970,1791.2162339264955,Canada,344.91156554120903
177,1971,2142.8041376793794,Canada,351.5879037528839
178,1972,2510.7862896049533,Canada,367.9821519255739
179,1973,2904.5109774324687,Canada,393.72468782751554
180,1974,3304.694103596626,Canada,400.1831261641571
181,1975,3702.7596461473086,Canada,398.06554255068255
182,1976,4115.639915060683,Canada,412.88026891337466
183,1977,4552.029394471184,Canada,436.3894794105004
184,1978,4976.623107529651,Canada,424.59371305846724
185,1979,5407.3320970077875,Canada,430.70898947813623
186,1980,5847.913842849555,Canada,440.5817458417677
187,1981,6268.583923250622,Canada,420.67008040106765
188,1982,6675.549255494543,Canada,406.9653322439204
189,1983,7063.53671920228,Canada,387.9874637077377
190,1984,7471.963370699695,Canada,408.42665149741424
191,1985,7875.436451992506,Canada,403.4730812928109
192,1986,8268.821665820578,Canada,393.38521382807176
193,1987,8675.5467616823,Canada,406.7250958617234
194,1988,9112.928957635519,Canada,437.3821959532176
195,1989,9570.311309348852,Canada,457.3823517133336
196,1990,10015.141758910888,Canada,444.8304495620365
197,1991,10443.13255377103,Canada,427.9907948601425
198,1992,10885.073754441242,Canada,441.9412006702119
199,1993,11323.519224426733,Canada,438.44546998548896
200,1994,11776.672511493838,Canada,453.15328706710625
201,1995,12248.156166059194,Canada,471.4836545653555
202,1996,12728.716549446373,Canada,480.56038338718065
203,1997,13222.701323726931,Canada,493.9847742805567
204,1998,13731.038571268586,Canada,508.33724754165394
205,1999,14244.269087511295,Canada,513.2305162427105
206,2000,14777.374946758093,Canada,533.1058592467979
207,2001,15313.211697636034,Canada,535.83675087794
208,2002,15861.865365051854,Canada,548.6536674158207
209,2003,16419.629799523256,Canada,557.7644344714033
210,2004,16974.93680640678,Canada,555.3070068835218
211,2005,17529.96207959381,Canada,555.0252731870296
212,2006,18077.952599782006,Canada,547.9905201881962
213,2007,18652.945366243413,Canada,574.9927664614075
214,2008,19212.412358924288,Canada,559.466992680874
215,2009,19744.010016562566,Canada,531.5976576382817
216,2010,20290.28129515152,Canada,546.271278588952
217,2011,20840.527671546242,Canada,550.2463763947217
218,2012,21387.00976285369,Canada,546.4820913074471
219,2013,21947.736399138525,Canada,560.7266362848367
220,2014,22514.164586731353,Canada,566.4281875928256
221,2015,23080.350481471596,Canada,566.1858947402466
222,2016,23628.0458809685,Canada,547.6953994969015
223,2017,24191.772025785653,Canada,563.7261448171522
224,2018,24765.27159324051,Canada,573.4995674548587
225,2019,25336.574901794327,Canada,571.3033085538186
226,2020,25853.891877812413,Canada,517.3169760180859
227,2021,26381.25922980379,Canada,527.3673519913748
228,1965,488.5254189209301,China,488.5254189209301
