,Year,Cumulative global emissions,cume,Country,Million tonnes of carbon dioxide,ranked,pct
107,2015,32128.2396330235,23080.350481471596,Canada,566.1858947402466,9.0,0.017622686496594847
108,2016,32290.036368734018,23628.0458809685,Canada,547.6953994969015,9.0,0.01696174613253849
109,2017,32649.346419607627,24191.772025785653,Canada,563.7261448171522,9.0,0.017266077475860446
110,2018,33357.08931424396,24765.27159324051,Canada,573.4995674548587,9.0,0.01719273411574211
111,2019,33290.92122968449,25336.574901794327,Canada,571.3033085538186,9.0,0.017160934196209777
112,2020,31341.989193406283,25853.891877812413,Canada,517.3169760180859,9.0,0.016505556581804925
113,2021,33139.76772360828,26381.25922980379,Canada,527.3673519913748,9.0,0.01591342933932775
114,1965,11001.518840048726,488.5254189209301,China,488.5254189209301,3.0,0.044405270401624515
115,1966,11497.002495872768,1018.8744634544196,China,530.3490445334894,3.0,0.046129331947512044
116,1967,11851.263252096604,1494.7951372521886,China,475.92067379776904,3.0,0.040157801212758824
117,1968,12483.67243368634,1971.4779275982178,China,476.6827903460292,3.0,0.03818450002418624
118,1969,13255.523020558425,2553.9516277245184,China,582.4737001263009,3.0,0.04394196284997003
119,1970,14033.98414552271,3302.4587579873732,China,748.5071302628548,3.0,0.0533353267683185
120,1971,14481.784815768166,4184.159913631056,China,881.7011556436823,3.0,0.06088345924624304
121,1972,15165.882364461551,5129.536638068568,China,945.3767244375122,3.0,0.06233575480268977
122,1973,16016.650206785453,6116.538938641137,China,987.0023005725692,3.0,0.06162351601800142
123,1974,15911.427837435984,7123.307473161785,China,1006.7685345206478,3.0,0.06327329921655112
124,1975,15879.888805750468,8254.580262184609,China,1131.2727890228239,3.0,0.07123933944758885
125,1976,16725.956476515323,9437.721654437812,China,1183.1413922532035,3.0,0.07073684508951315
126,1977,17256.431650625585,10731.269765013856,China,1293.548110576044,3.0,0.07496034735136856
127,1978,17590.068223007984,12149.80235176122,China,1418.532586747363,3.0,0.08064395025437754
128,1979,18128.59181285465,13608.2565725085,China,1458.4542207472805,3.0,0.08045049697203273
129,1980,17930.641592885288,15069.12533210792,China,1460.8687595994213,3.0,0.08147331215292823
130,1981,17685.978926646443,16507.399642234413,China,1438.274310126494,3.0,0.08132285558474397
131,1982,17515.03577723725,18009.42660865884,China,1502.0269664244233,3.0,0.08575643153275629
132,1983,17637.730050881328,19606.089648277917,China,1596.6630396190794,3.0,0.09052542674216157
133,1984,18313.856728539686,21328.11709903368,China,1722.0274507557617,3.0,0.09402866235554924
134,1985,18578.96389625685,23149.854566814203,China,1821.7374677805224,3.0,0.09805377081052148
135,1986,18896.077293196173,25053.461648349705,China,1903.6070815355015,3.0,0.10074086023245285
136,1987,19498.72349879714,27101.569607447487,China,2048.1079590977843,3.0,0.10503805334867847
137,1988,20144.453079073286,29298.38531211223,China,2196.8157046647434,3.0,0.10905313219681635
138,1989,20522.94924718655,31593.42930923203,China,2295.0439971197993,3.0,0.11182817681208379
139,1990,20674.113562623403,33902.2220273013,China,2308.7927180692673,3.0,0.11167553622435927
140,1991,20723.465039529678,36342.17642672195,China,2439.954399420648,3.0,0.11773872732028519
141,1992,20836.666016816507,38904.93259174257,China,2562.75616502062,3.0,0.12299262093812482
142,1993,20924.77615374221,41674.546984968765,China,2769.614393226199,3.0,0.1323605267208977
143,1994,21170.297454490697,44595.90452974688,China,2921.357544778109,3.0,0.1379932214489704
144,1995,21463.942458949707,47605.06792499241,China,3009.1633952455327,3.0,0.14019621050515899
145,1996,22062.89643347672,50761.72306870545,China,3156.6551437130406,3.0,0.1430752826688408
146,1997,22204.1288262245,53904.05446821918,China,3142.331399513736,3.0,0.1415201390744248
147,1998,22260.472883029448,57043.86246077826,China,3139.8079925590823,3.0,0.14104857561012346
148,1999,22556.99387282719,60312.3363632613,China,3268.4739024830374,3.0,0.14489847011131815
149,2000,23069.955730710037,63640.32033980726,China,3327.9839765459546,3.0,0.1442561925732628
150,2001,23358.915198294562,67130.0475582385,China,3489.7272184312355,3.0,0.1493959453513501
151,2002,23900.876789866597,70939.31153181187,China,3809.2639735733774,3.0,0.15937758296751753
152,2003,25085.058243243737,75433.44747486575,China,4494.135943053884,3.0,0.17915589031029291
153,2004,26397.309142709997,80750.61524208447,China,5317.16776721872,3.0,0.20142840084467978
154,2005,27455.05955427274,86829.87473810546,China,6079.259496020978,3.0,0.22142583533660132
155,2006,28316.292827953377,93489.84836101117,China,6659.973622905726,3.0,0.23519934842357296
156,2007,29344.75498252213,100706.9874562367,China,7217.139095225524,3.0,0.24594306885588535
157,2008,29606.081556748075,108063.5473401729,China,7356.559883936194,3.0,0.2484813760252384
158,2009,28966.792092613676,115748.56743387532,China,7685.020093702419,3.0,0.26530449312894555
159,2010,30301.741784820064,123870.255167373,China,8121.687733497693,3.0,0.26802709201245745
160,2011,31194.973024475086,132663.74622520167,China,8793.491057828665,3.0,0.2818880802021989
161,2012,31530.749508551926,141642.48491512984,China,8978.73868992817,3.0,0.28476134661793917
162,2013,32010.37744731882,150861.58422580434,China,9219.09931067451,3.0,0.2880034553121678
163,2014,32119.310836364788,160118.2643310331,China,9256.680105228761,3.0,0.2881967222892139
164,2015,32128.2396330235,169344.466700321,China,9226.202369287897,3.0,0.28716800156721334
165,2016,32290.036368734018,178578.88275535722,China,9234.416055036218,3.0,0.2859834516624382
166,2017,32649.346419607627,188023.75341939955,China,9444.87066404231,3.0,0.28928207452171767
167,2018,33357.08931424396,197699.73884185695,China,9675.985422457408,3.0,0.2900728337326969
168,2019,33290.92122968449,207568.2646496093,China,9868.525807752367,3.0,0.29643294457567926
169,2020,31341.989193406283,217542.53599674156,China,9974.271347132231,3.0,0.3182398949084768
170,2021,33139.76772360828,228065.5620389338,China,10523.026042192267,3.0,0.31753469517216376
171,1965,11001.518840048726,329.4457042845905,France,329.4457042845905,10.0,0.029945474718028237
172,1966,11497.002495872768,660.4222941225531,France,330.97658983796265,10.0,0.02878807671449821
173,1967,11851.263252096604,1016.3572470376153,France,355.93495291506207,10.0,0.03003350320921221
174,1968,12483.67243368634,1385.6369506234505,France,369.27970358583536,10.0,0.029581015165806433
175,1969,13255.523020558425,1790.043001346328,France,404.4060507228776,10.0,0.03050849446647039
176,1970,14033.98414552271,2223.7770270388273,France,433.73402569249913,10.0,0.030905979456366577
177,1971,14481.784815768166,2677.347011677617,France,453.5699846387896,10.0,0.03132003343572196
178,1972,15165.882364461551,3155.1329652404224,France,477.7859535628057,10.0,0.03150399970676345
179,1973,16016.650206785453,3673.949862299485,France,518.8168970590624,10.0,0.03239234736107714
180,1974,15911.427837435984,4174.427359590907,France,500.47749729142237,10.0,0.031453965188084014
181,1975,15879.888805750468,4631.539631257785,France,457.1122716668781,10.0,0.028785609097045275
182,1976,16725.956476515323,5141.125435214657,France,509.5858039568713,10.0,0.03046676611124592
183,1977,17256.431650625585,5634.202257946994,France,493.0768227323373,10.0,0.028573510023114316
184,1978,17590.068223007984,6131.857755257682,France,497.65549731068774,10.0,0.028291845773500152
185,1979,18128.59181285465,6642.027473502453,France,510.16971824477184,10.0,0.028141717984020133
186,1980,17930.641592885288,7127.062623324481,France,485.03514982202796,10.0,0.02705062991245586
187,1981,17685.978926646443,7568.890751803371,France,441.8281284788897,10.0,0.024981830539965916
188,1982,17515.03577723725,7987.477989231735,France,418.587237428363,10.0,0.023898737219387466
189,1983,17637.730050881328,8390.280712978461,France,402.80272374672734,10.0,0.022837560308765468
190,1984,18313.856728539686,8777.974864000722,France,387.6941510222603,10.0,0.021169443267408064
191,1985,18578.96389625685,9159.792531144136,France,381.81766714341404,10.0,0.020551074283552476
192,1986,18896.077293196173,9529.706644148917,France,369.91411300478114,10.0,0.019576238351754333
193,1987,19498.72349879714,9892.080473191774,France,362.37382904285664,10.0,0.018584489854692857
194,1988,20144.453079073286,10251.219008912658,France,359.1385357208842,10.0,0.017828160154616905
195,1989,20522.94924718655,10621.715980986466,France,370.4969720738079,10.0,0.01805281334623963
196,1990,20674.113562623403,10988.957222038429,France,367.2412410519632,10.0,0.017763336741842044
197,1991,20723.465039529678,11379.621924456265,France,390.664702417836,10.0,0.018851321517547828
198,1992,20836.666016816507,11759.06509588881,France,379.44317143254517,10.0,0.018210359139332104
199,1993,20924.77615374221,12121.095179933602,France,362.03008404479203,10.0,0.01730150331763746
200,1994,21170.297454490697,12469.837989040423,France,348.74280910682097,10.0,0.016473212521293353
