,Exajoules,variable,Energy_cons,GDP,eng_int,pct_chng_int,co2,carbon_int,carbon_int_cng
15,China,1982,17.916732915734507,484455553401.509,36.98323363193115,-0.04169538556851593,1502.0269664244233,83.83375325673023,-0.00037353243521376367
16,China,1983,19.071713671483632,536632397557.183,35.53962406723938,-0.039034162860366095,1596.6630396190794,83.71890786124996,-0.0013699183326383313
17,China,1984,20.466520585737058,618155123011.759,33.10903658942535,-0.06839091694429478,1722.0274507557617,84.13874960044883,0.005014897469693302
18,China,1985,22.141335434107702,701177544159.34,31.577359569684344,-0.046261600382241475,1821.7374677805224,82.27766898712984,-0.022119185537659347
19,China,1986,23.198782343851896,763932666262.02,30.36757474629967,-0.038311779068004204,1903.6070815355015,82.05633611800286,-0.002690072189108883
20,China,1987,25.02086013121654,852987565219.692,29.333206193659187,-0.03406161213998571,2048.1079590977843,81.85601727346385,-0.002441235546404852
21,China,1988,26.881603695734814,948714904915.565,28.334754262269403,-0.03403828155701627,2196.8157046647434,81.72189909240059,-0.0016384645323653801
22,China,1989,28.211171320794264,988621025896.57,28.535880364480263,0.007098212334902154,2295.0439971197993,81.35231150179638,-0.004522503694956104
23,China,1990,28.577697765968967,1027377455186.3,27.81616203636356,-0.0252215217797368,2308.7927180692673,80.79001804052372,-0.006911831402113822
24,China,1991,30.015399010846277,1122541231141.84,26.738794244835756,-0.038731719714581114,2439.954399420648,81.2900870829321,0.006189737971806775
25,China,1992,31.585351376698323,1282217440753.01,24.63338149428785,-0.07874000342983078,2562.75616502062,81.13749106211493,-0.0018771787101358184
26,China,1993,34.04748224405231,1460237039290.75,23.31640776663868,-0.053462969667991356,2769.614393226199,81.34564469036525,0.002565443243629062
27,China,1994,36.175724120682,1650605318482.01,21.916640953242073,-0.06003355351330775,2921.357544778109,80.7546390787501,-0.007265362686161625
28,China,1995,37.269570928171845,1831411871435.46,20.35018529117646,-0.07147334600259048,3009.1633952455327,80.74048936718303,-0.00017521855993030133
29,China,1996,39.26681804286924,2013134753757.7,19.50531029757155,-0.0415168206832609,3156.6551437130406,80.38988899652595,-0.004342311687790867
30,China,1997,39.53208170968496,2199083579885.44,17.976616292021227,-0.07837322156011273,3142.331399513736,79.488133779302,-0.011217271580794441
31,China,1998,39.60203814516914,2371622617326.55,16.698288275649514,-0.07111060255199908,3139.8079925590823,79.284000006502,-0.00256810372937899
32,China,1999,40.98984536456142,2553328077171.96,16.053497288903568,-0.03861419662314847,3268.4739024830374,79.73862485728871,0.005734131107782536
33,China,2000,42.481023818028454,2770108015885.86,15.335511674783318,-0.04472456071092579,3327.9839765459546,78.3404842313051,-0.01753404486829213
34,China,2001,44.892228364733434,3001016837148.73,14.95900583063226,-0.024551241075976504,3489.7272184312355,77.735664847787,-0.00772039373323663
35,China,2002,48.889766356872215,3275118634996.31,14.927632188483242,-0.0020973079698098918,3809.2639735733774,77.91536465458944,0.0023116777499014862
36,China,2003,56.94752257152672,3603876041860.81,15.801742876295677,0.0585565531609773,4494.135943053884,78.9171458233183,0.012857299367973196
37,China,2004,66.63288668699785,3968358419663.33,16.79104547533559,0.06260718243453844,5317.16776721872,79.79795010526333,0.011161126935799182
38,China,2005,75.69779322923728,4420536663136.43,17.124118404105413,0.01983634248737376,6079.259496020978,80.30960001186592,0.0064118176711014385
39,China,2006,82.97412400321353,4982871172216.7,16.651870204041685,-0.027577956944662807,6659.973622905726,80.26566960378864,-0.000547013159955978
40,China,2007,90.17745785644681,5691976639219.75,15.842907231047286,-0.04858090791495906,7217.139095225524,80.03262973674046,-0.0029033566679069756
41,China,2008,93.66840582138188,6241291028834.91,15.007857411011868,-0.05270811776256412,7356.559883936194,78.53832697830431,-0.018671169038822155
42,China,2009,97.77203630536101,6827892848566.12,14.319503611702615,-0.045866227300652485,7685.020093702419,78.60141185666434,0.0008032368499197862
43,China,2010,104.59504737576171,7554098728364.74,13.846131899629505,-0.03305782972017601,8121.687733497693,77.64887475331618,-0.012118574982917463
44,China,2011,112.80086914871185,8275578020536.57,13.63057285772506,-0.015568177702410368,8793.491057828665,77.95588034198302,0.0039537673873855095
45,China,2012,117.43328389108794,8926347665673.95,13.15580439944937,-0.03483114489987249,8978.73868992817,76.45821007828914,-0.019211767696340254
46,China,2013,121.85224603418675,9619581223626.48,12.667105064294029,-0.037147050861883746,9219.09931067451,75.65801707165913,-0.010465756467626597
47,China,2014,125.40951464057461,10333908590021.3,12.135729046575213,-0.04194928636193729,9256.680105228761,73.81162531215062,-0.024404442925852865
48,China,2015,127.01887622019505,11061553079876.4,11.482915220220987,-0.053792716024625986,9226.202369287897,72.63646667203784,-0.015921050852667373
49,China,2016,129.15485518938172,11819132546490.1,10.927608661748746,-0.048359371102415394,9234.416055036218,71.49879144299804,-0.015662590447530156
50,China,2017,133.60371368139803,12640231416521.9,10.569720543784204,-0.03275081758896636,9444.87066404231,70.69317464157692,-0.011267558306400138
51,China,2018,138.88284930521064,13493418449047.0,10.292636356728382,-0.026214901889602737,9675.985422457408,69.67012464723665,-0.014471694042985872
52,China,2019,143.9225659637092,14296344415554.0,10.067088605330863,-0.021913506275782924,9868.525807752367,68.56830088924877,-0.01581486704045354
53,China,2020,147.58047324695315,14616539906901.3,10.096813212083935,0.0029526517465370272,9974.271347132231,67.58530534349099,-0.014336005603311053
